img_name,target_text,skip,threshold,edit_guidance_scale,seed,steps,object
dog2_standing.png,A photo of a sitting dog.,0.1,0.6,15.0,4.39383222278441e+17,50.0,standing dog
dog2_standing.png,A photo of a jumping dog.,0.2,0.6,10.0,1.64651910610014e+19,50.0,standing dog
dog2_standing.png,A photo of a breakdancing dog.,0.1,0.75,15.0,3.46637011751585e+18,50.0,standing dog
dog2_standing.png,A photo of a dog laying down.,0.0,0.6,10.0,5.88706574996718e+18,50.0,standing dog
dog2_standing.png,A photo of a yawning dog.,0.2,0.75,10.0,1.80025077062192e+19,50.0,standing dog
tennis_ball.jpeg,A photo of a tomato in a blue tennis court.,0.0,0.6,10.0,1.45281889845567e+19,50.0,tennis ball
zebra.jpeg,A photo of a horse.,0.0,0.6,15.0,1.26562345604915e+19,50.0,zebra
red_car.jpeg,A photo of a car in Manhattan.,0.0,0.45,20.0,147323181349.0,80.0,red car
bird.jpeg,A photo of a bird spreading wings.,0.1,0.6,15.0,6.14130994070095e+17,50.0,bird
bird.jpeg,A photo of a bird leaning down.,0.0,0.6,15.0,1.11902474849634e+19,50.0,bird
bird.jpeg,A photo of a bird cleaning itself.,0.0,0.75,15.0,1.1799940578971093e+19,50.0,bird
box.jpeg,A photo of an open box.,0.0,0.6,15.0,1.51612541442747e+19,50.0,box
cat.jpeg,A photo of a cat wearing a hat.,0.1,0.75,10.0,4.26440172514379e+18,50.0,cat
cat.jpeg,A photo of a cat in a grass field.,0.0,0.75,15.0,1.45651044112204e+19,50.0,cat
cat_3.jpeg,A photo of a cat wearing a hat.,0.2,0.75,15.0,1.44357917516065e+19,50.0,cat
cat_3.jpeg,A photo of a cat wearing an apron.,0.2,0.6,10.0,3.28930994879043e+18,50.0,cat
cat_3.jpeg,A photo of a cat yawning.,0.4,0.6,10.0,6.4061137783005e+18,50.0,cat
dog_with_shirt.jpg,A dog smoking a cigar.,0.2,0.9,15.0,6.6565934863574e+18,50.0,dog wearing shirt
dog_01.jpeg,A photo of a sitting dog.,0.1,0.4,27.0,4.39383222278441e+17,65.0,dog
dog_01.jpeg,A photo of a jumping dog.,0.1,0.6,15.0,1.53009895253438e+19,50.0,dog
vase_01.jpeg,A photo of a vase of red roses.,0.0,0.9,15.0,1.26519479097813e+19,50.0,vase
vase_01.jpeg,A photo of a vase of colorful tulips.,0.1,0.6,15.0,1.17840995978778e+19,50.0,vase
vase_01.jpeg,A photo of a vase of daisies.,0.1,0.9,15.0,3.60853398934669e+18,50.0,vase
door.jpeg,A photo of an open door.,0.0,0.65,23.0,1712942579721789.0,68.0,door
door.jpeg,A photo of a door for room number 17.,0.4,0.6,15.0,1.12799203855034e+19,50.0,door
